Price ID,Product ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Created (UTC),Amount,Currency,Interval,Interval Count,Usage Type,Aggregate Usage,Billing Scheme,Trial Period Days,Tax Behavior,internal_id (metadata),created_by (metadata),location_id (metadata),user_id (metadata)
price_1SpJkvDffY6JnI6OdLsfwMNV,prod_STDpE8r3B3goFK,High School Club,,,6 Months (Installment x4),2026-01-14 02:24,637.50,usd,day,42,licensed,,per_unit,,unspecified,6966c651ad9ea56939d8e8bb,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SpJkvDffY6JnI6OdpsLMaCx,prod_STDpE8r3B3goFK,High School Club,,,6 Months (Installment x4),2026-01-14 02:24,637.50,usd,day,42,licensed,,per_unit,,unspecified,6966c651ad9ea56939d8e8bb,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SpGdiDffY6JnI6OQy1mh7Wc,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,6 Months (Save $450.00),2026-01-13 23:04,1800.00,usd,day,168,licensed,,per_unit,,unspecified,6892a29e11cd56d056d91d16,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SpGdLDffY6JnI6OL6LVmVKc,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,6 Months (Save $391.00),2026-01-13 23:04,1800.00,usd,day,168,licensed,,per_unit,,unspecified,6892a29e11cd56d056d91d16,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SpGbnDffY6JnI6OLMOvvvgV,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,3 Months (Save $135.00),2026-01-13 23:02,990.00,usd,day,84,licensed,,per_unit,,unspecified,6892a25f574f4c037a710076,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SpGa8DffY6JnI6O2tH0n5Bi,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,Monthly (Unlimited),2026-01-13 23:01,350.00,usd,day,28,licensed,,per_unit,,unspecified,6892a1fd13cf3d3217c3492e,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpGa8DffY6JnI6OUQr29jP3,prod_SoYLW4Lz0TdP6O,Irvine Flight,,,Monthly,2026-01-13 23:01,375.00,usd,day,28,licensed,,per_unit,,unspecified,6892a1fd13cf3d3217c3492e,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpGN3DffY6JnI6OYGBHidRR,prod_STDpE8r3B3goFK,High School Club,,,6 Months (Installment x4),2026-01-13 22:47,2550.00,usd,day,168,licensed,,per_unit,,unspecified,6966c651ad9ea56939d8e8bb,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SpGHrDffY6JnI6OOieHz4S6,prod_TGxYkilYyoUAGY,Friday Night Hoops The League 3 v 3,,,3 Months (UYP-Members),2026-01-13 22:42,483.03,usd,day,28,licensed,,per_unit,,unspecified,68f69b7a4d55d77b651bd5d5,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SpG6rDffY6JnI6OYZOPSiEd,prod_STETCMIj40XnRa,Friday Night Hoops - The League,,,Monthly,2026-01-13 22:30,197.00,usd,day,28,licensed,,per_unit,,unspecified,6847997cd4deb89e9e3a82e9,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpG6CDffY6JnI6OSv4eUzxL,prod_Sr4UsV2Ijncxtj,Friday Night Hoops,,,3 Months (Paid in Full),2026-01-13 22:30,831.00,usd,day,84,licensed,,per_unit,,unspecified,689b7f628528ae72304811ac,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SpG5aDffY6JnI6O1kk2Tv7G,prod_Sr4UsV2Ijncxtj,Friday Night Hoops,,,Monthly,2026-01-13 22:29,297.00,usd,day,28,licensed,,per_unit,,unspecified,689b7ef0d158be6c71661aea,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpG4gDffY6JnI6ODVPDIK2e,prod_STE50pty4hV8A0,Skills Academy,,,6 Months (Save $40.00),2026-01-13 22:28,1238.00,usd,day,168,licensed,,per_unit,,unspecified,684793eeba02588f33050843,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpG1qDffY6JnI6O5UthQzRP,prod_STDpE8r3B3goFK,High School Club,,,6 Months (Installment x4),2026-01-13 22:25,2370.00,usd,day,168,licensed,,per_unit,,unspecified,6966c651ad9ea56939d8e8bb,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1SpFdXDffY6JnI6OZDDkOQ6w,prod_STDpE8r3B3goFK,High School Club,,,6 Months (Save $229.00),2026-01-13 22:00,2370.00,usd,day,168,licensed,,per_unit,,unspecified,68479037924d71a1dd0120e9,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFdDDffY6JnI6OJkyOCQGI,prod_STDpE8r3B3goFK,High School Club,,,Monthly,2026-01-13 22:00,450.00,usd,day,28,licensed,,per_unit,,unspecified,68479037924d71e3d10120e7,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFabDffY6JnI6OCApR8wwQ,prod_STEhRUl2UuMFkq,Youth Club,,,Monthly,2026-01-13 21:57,375.00,usd,day,28,licensed,,per_unit,,unspecified,68479ce6d4deb842033a8973,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFabDffY6JnI6O6s5NkdUh,prod_STEhRUl2UuMFkq,Youth Club,,,Monthly,2026-01-13 21:57,375.00,usd,day,28,licensed,,per_unit,,unspecified,68479ce6d4deb842033a8973,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFZsDffY6JnI6OJcYP910H,prod_STEhRUl2UuMFkq,Youth Club,,,6 Months (Save $450.00),2026-01-13 21:56,1800.00,usd,day,168,licensed,,per_unit,,unspecified,68479ce6d4deb83c8a3a8977,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFYCDffY6JnI6Om6xLd63W,prod_STEhRUl2UuMFkq,Youth Club,,,3 Months (Save $135.00),2026-01-13 21:54,990.00,usd,day,84,licensed,,per_unit,,unspecified,68479ce6d4deb804453a8975,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFRTDffY6JnI6O2tUwao8N,prod_STE50pty4hV8A0,Skills Academy,,,3 Months (Save $50.00),2026-01-13 21:47,670.00,usd,day,84,licensed,,per_unit,,unspecified,684793eeba025884bd050841,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFRTDffY6JnI6OCVobtDYU,prod_STE50pty4hV8A0,Skills Academy,,,3 Months (Save $50.00),2026-01-13 21:47,670.00,usd,day,84,licensed,,per_unit,,unspecified,684793eeba025884bd050841,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFPbDffY6JnI6OUxnlhFQq,prod_STE50pty4hV8A0,Skills Academy,,,Monthly (Special Assistance),2026-01-13 21:46,253.00,usd,day,28,licensed,,per_unit,,unspecified,684793eeba025893f0050847,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFPbDffY6JnI6OL20Zo6Qb,prod_STE50pty4hV8A0,Skills Academy,,,Monthly (Elite),2026-01-13 21:46,267.00,usd,day,28,licensed,,per_unit,,unspecified,684793eeba0258dd47050845,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFPaDffY6JnI6Orwr8qarS,prod_STE50pty4hV8A0,Skills Academy,,,3 Months (Save $34.00),2026-01-13 21:46,670.00,usd,day,84,licensed,,per_unit,,unspecified,684793eeba025884bd050841,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SpFPaDffY6JnI6OYGzA0S0y,prod_STE50pty4hV8A0,Skills Academy,,,Monthly,2026-01-13 21:46,240.00,usd,day,28,licensed,,per_unit,,unspecified,684793eeba02585a0705083f,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1Sb8UWDffY6JnI6OuL7ylRJw,prod_TWef381X9oQc4Y,Tier 1 - Sports Recruiting Profile,,,Tier 3 - College Recruiting,2025-12-05 23:32,499.00,usd,day,28,licensed,,per_unit,,unspecified,692fa62dd5bf65d1202cd6ed,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1Sb8UFDffY6JnI6OTCNamWeO,prod_TWef381X9oQc4Y,Tier 1 - Sports Recruiting Profile,,,Tier 1 Sports Recruiting Profile,2025-12-05 23:32,24.99,usd,day,28,licensed,,per_unit,,unspecified,692dd739437df694bddaaf0d,LeadConnector,QCG9x9KJzYf8o2SK3jCx,OmlQbs13gslWEQKY8MCL
price_1Sb8U5DffY6JnI6OODbDu6Mv,prod_TWef381X9oQc4Y,Tier 1 - Sports Recruiting Profile,,,Tier 2 - Media,2025-12-05 23:32,299.00,usd,day,28,licensed,,per_unit,,unspecified,692fa62dd5bf65c0ec2cd6e8,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1Sb8TkDffY6JnI6OREnZPcvx,prod_TWef381X9oQc4Y,Tier 1 - Sports Recruiting Profile,,,Tier 1 Sports Recruiting Profile @ 24.99,2025-12-05 23:32,24.99,usd,day,28,licensed,,per_unit,,unspecified,692dd739437df694bddaaf0d,LeadConnector,QCG9x9KJzYf8o2SK3jCx,OmlQbs13gslWEQKY8MCL
price_1Sa7gZDffY6JnI6OwvlH4NC7,prod_TWef381X9oQc4Y,Tier 1 - Sports Recruiting Profile,,,Tier 3 - College Recruiting,2025-12-03 04:29,499.00,usd,month,1,licensed,,per_unit,,unspecified,692fa62dd5bf65d1202cd6ed,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1Sa7gFDffY6JnI6OVDAHnaSb,prod_TWef381X9oQc4Y,Tier 1 - Sports Recruiting Profile,,,Tier 2 - Media,2025-12-03 04:28,299.00,usd,month,1,licensed,,per_unit,,unspecified,692fa62dd5bf65c0ec2cd6e8,LeadConnector,QCG9x9KJzYf8o2SK3jCx,
price_1Sa6BIDffY6JnI6OzZdKGeQO,prod_TWef381X9oQc4Y,Tier 1 - Sports Recruiting Profile,,,Tier 1 Sports Recruiting Profile @ 24.99,2025-12-03 02:52,24.99,usd,month,1,licensed,,per_unit,,unspecified,692dd739437df694bddaaf0d,LeadConnector,QCG9x9KJzYf8o2SK3jCx,OmlQbs13gslWEQKY8MCL
price_1SZbQ3DffY6JnI6ON9liFHvF,prod_TWej2N5CG3aZsm,Tier 3 - College Recruiting,,,Tier 3 - College Recruiting @ 499,2025-12-01 18:01,499.00,usd,month,1,licensed,,per_unit,,unspecified,692dd80e4a3cbfe319e2d0b6,LeadConnector,QCG9x9KJzYf8o2SK3jCx,OmlQbs13gslWEQKY8MCL
price_1SZbORDffY6JnI6O3JEgpuU1,prod_TWehGZ5WWEK2v7,Tier 2 - Media,,,Tier 2 - Media @ 299,2025-12-01 18:00,299.00,usd,month,1,licensed,,per_unit,,unspecified,692dd7aa777ee5a4e11ea37e,LeadConnector,QCG9x9KJzYf8o2SK3jCx,OmlQbs13gslWEQKY8MCL
price_1SZbMcDffY6JnI6O6jfOcbZi,prod_TWef381X9oQc4Y,Tier 1 - Sports Recruiting Profile,,,Sports Recruiting Profile @ 24.99,2025-12-01 17:58,24.99,usd,month,1,licensed,,per_unit,,unspecified,692dd739437df694bddaaf0d,LeadConnector,QCG9x9KJzYf8o2SK3jCx,OmlQbs13gslWEQKY8MCL
price_1SS5MFDffY6JnI6O19Ta9YSe,prod_STE50pty4hV8A0,Skills Academy,,,Monthly (Special Assistance),2025-11-11 00:22,233.00,usd,day,28,licensed,,per_unit,,unspecified,684793eeba025893f0050847,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SS5M2DffY6JnI6OS7fzBtwq,prod_STE50pty4hV8A0,Skills Academy,,,Monthly (Elite),2025-11-11 00:22,244.00,usd,day,28,licensed,,per_unit,,unspecified,684793eeba0258dd47050845,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SS5M1DffY6JnI6Oidhd34vl,prod_STE50pty4hV8A0,Skills Academy,,,Monthly (Elite),2025-11-11 00:22,244.00,usd,day,28,licensed,,per_unit,,unspecified,684793eeba0258dd47050845,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
price_1SS5LnDffY6JnI6O2LDwJIEy,prod_STE50pty4hV8A0,Skills Academy,,,6 Months (Save $40.00),2025-11-11 00:22,1238.00,usd,day,168,licensed,,per_unit,,unspecified,684793eeba02588f33050843,LeadConnector,QCG9x9KJzYf8o2SK3jCx,Yl4IaTJyw4np4WfjKaZw
